paperID,title,citations,year,conference,last_updated
000798184970fba0ec374416f2e4338f2f2a9f63,Representation Learning for Integrating Multi domain Outcomes to Optimize Individualized Treatments,1,2020,NeurIPS,02 Mar 2022
000a7562f8786a4a8721e9aca92615a33ac1a51b,Statistical control for spatio temporal MEG EEG source imaging with desparsified multi task Lasso,4,2020,NeurIPS,02 Mar 2022
00102d213c04a751ecb95e8a78662b040a0ee9bb,A Mathematical Framework for Quantifying Transferability in Multi source Transfer Learning,1,2021,NeurIPS,02 Mar 2022
0011cd8b3d28049949d8aec06ec85d5ab7802b42,Exploiting the Intrinsic Neighborhood Structure for Source free Domain Adaptation,1,2021,NeurIPS,02 Mar 2022
0011d0b1962473d54ac720f78f6c49103b01b77b,GILBO One Metric to Measure Them All,12,2018,NeurIPS,02 Mar 2022
0014a3f86460286deb5e536da5e278eefcedf5df,The Autoencoding Variational Autoencoder,4,2020,NeurIPS,02 Mar 2022
00215f32433e4e69ddb5a678b3f02568334d67ca,Classification with Valid and Adaptive Coverage,38,2020,NeurIPS,02 Mar 2022
0024665d8ea4843317a2af5629ff1e096ec3212c,Model evidence from nonequilibrium simulations,4,2017,NeurIPS,02 Mar 2022
002e7ffbee5539486fb607ac11301819959e47a5,High Dimensional Multivariate Forecasting with Low Rank Gaussian Copula Processes,52,2019,NeurIPS,02 Mar 2022
003376467ba21a6321bbe31d99173a4fd5e21f34,Deep Neural Networks with Box Convolutions,9,2018,NeurIPS,02 Mar 2022
0048b8b6fb7986f67cdd9e9c0b5012c9b6d7c9e7,Bayesian Deep Ensembles via the Neural Tangent Kernel,30,2020,NeurIPS,02 Mar 2022
004ddf5a39a735d0f8ec7547629c2bee65eb1f93,On Testing for Biases in Peer Review,35,2019,NeurIPS,02 Mar 2022
00549af4bc3270e0f688acbf694f912d7ee39cad,Devign Effective Vulnerability Identification by Learning Comprehensive Program Semantics via Graph Neural Networks,93,2019,NeurIPS,02 Mar 2022
0056f01a8281ed5551ab473f39772541c23e5421,Nearly Horizon Free Offline Reinforcement Learning,9,2021,NeurIPS,
007112213ece771be72cbecfd59f048209facabd,A simple neural network module for relational reasoning,1129,2017,NeurIPS,02 Mar 2022
0071f09e43c50372730bc9e9a89fee32c12c2d63,Metric on Nonlinear Dynamical Systems with Perron Frobenius Operators,18,2018,NeurIPS,02 Mar 2022
007d08aee3b88489fe0377849f70688de66adae8,Bandit Learning with Implicit Feedback,14,2018,NeurIPS,02 Mar 2022
007fd689a806de99f053a0f5ef90aedb44f9ec7e,Better Exploration with Optimistic Actor Critic,45,2019,NeurIPS,02 Mar 2022
008ba3c574f8e5085dfb1eef0342e8b408565e45,Labelling unlabelled videos from scratch with multi modal self supervision,41,2020,NeurIPS,02 Mar 2022
008cfd24dfdfb28fc6a89c32772c7ffe5cb0cf8a,Towards mental time travel a hierarchical memory for reinforcement learning agents,4,2021,NeurIPS,02 Mar 2022
009c42dac6316c0f72b14e353b654560906a0e0f,What shapes feature representations Exploring datasets architectures and training,37,2020,NeurIPS,02 Mar 2022
00a86528f269fb173d7e28166f10865e0d5bff37,Improving the Expected Improvement Algorithm,55,2017,NeurIPS,02 Mar 2022
00b8d70f022c74d374cfe16177d67c791eb9a0f3,Weston Watkins Hinge Loss and Ordered Partitions,2,2020,NeurIPS,02 Mar 2022
00c3bfcc503e675e640cb92d71611f0e43bf43dc,"When do neural networks outperform kernel methods ",62,2020,NeurIPS,02 Mar 2022
00d1d3e5335a8d08ea3e4cf629b54b7c1f47ca80,Dimension Free Bounds for Low Precision Training,5,2019,NeurIPS,02 Mar 2022
